Tukaeva, Adelya-Grishchenko, Sergey Отличие:файл-прого$1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6 6. c3 Bf5 7. Nf3 Qd5 8.$1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6# gxf6 6. c3 Bf5 7. Nf3 Qd5 8.$
Garifzyanov, Niyaz-Sadhwani, Raunak Отличие:файл-прого$48. Rh2 Qa3+ 49. Rc3 Rb3 50. Rhc2 Rxc3+ 51. Rxc3 Rb3 52. Rxb3 Qxb3+ 53. Kg2$48. Rh2 Qa3+ 49. Rc3 Rb3 50. Rc2 Rxc3+ 51. Rxc3 Rb3 52. Rxb3 Qxb3+ 53. Kg2 Qxc4$
Garifzyanov, Niyaz-Sadhwani, Raunak Отличие:файл-прого$Qxc4 54. Qa5 Qc2+ 55. Kg1 Qd1+ 56. Kf2 Qc2+ 57. Kg1 Qc1+ 58. Kg2 Qb2+ 59. Kf1$54. Qa5 Qc2+ 55. Kg1 Qd1+ 56. Kf2 Qc2+ 57. Kg1 Qc1+ 58. Kg2 Qb2+ 59. Kf1 Qb8$
Garifzyanov, Niyaz-Sadhwani, Raunak Отличие:файл-прого$Qb8 60. Kf2 c4 61. Ke1 Qc8 62. Kd2 Ke7 63. Qa7+ 0-1$60. Kf2 c4 61. Ke1 Qc8 62. Kd2 Ke7 63. Qa7+ 0-1$
Grishchenko, Sergey-Askerov, Marat Отличие:файл-прого$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nge2 Re8 6. a3 Bf8 7. d5 c6 8. g3 d6$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Ne2 Re8 6. a3 Bf8 7. d5 c6 8. g3 d6$
Kharitonov, Egor-Suleimanov, Albert Отличие:файл-прого$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 O-O 5. e4 d5 6. e5 Ne4 7. Bd3 c5 8. Nge2$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. Qc2 O-O 5. e4 d5 6. e5 Ne4 7. Bd3 c5 8. Ne2$
Smirnov, Pavel-Kozionov, Kirill Отличие:файл-прого$Rxf4+ 53. Kxf4 Kxc7 54. Rxb4 Kd6 55. Rc4 Rg8 56. Rxc3 Rg1 57. Rd3+ {Kd5 Ke4+}$Rxf4+ 53. Kxf4 Kxc7 54. Rxb4 Kd6 55. Rc4 Rg8 56. Rxc3 Rg1 57. Rd3+ 1-0$
Novikov, Roman-Grishchenko, Sergey Отличие:файл-прого$1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6 6. Bf4 Bf5 7. c3 Qd5 8.$1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6# gxf6 6. Bf4 Bf5 7. c3 Qd5 8.$
Kharin, Mikhail-Bublei, Pavel Отличие:файл-прого$O-O-O Nge7 16. Rhe1 Rc8 17. Bd3 Bxd3 18. Qxd3 Nb4 19. Qe3 Rxc3+ 20. Qxc3 Nxa2+$O-O-O Ne7 16. Rhe1 Rc8 17. Bd3 Bxd3 18. Qxd3 Nb4 19. Qe3 Rxc3+ 20. Qxc3 Nxa2+$
Yandemirov, Valeri-Protopopova, Anastasiya Отличие:файл-прого$1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nf6 5. Nxf6+ gxf6 6. Bc4 Bf5 7. Nf3 e6 8.$1. e4 c6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nf6 5. Nxf6# gxf6 6. Bc4 Bf5 7. Nf3 e6 8.$
Filipenko, Alexander V-Tukaeva, Adelya Отличие:файл-прого$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. f3 c5 5. d5 exd5 6. cxd5 d6 7. e4 O-O 8. Nge2$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. f3 c5 5. d5 exd5 6. cxd5 d6 7. e4 O-O 8. Ne2$
Frolyanov, Dmitry-Yandemirov, Valeri Отличие:файл-прого$27. Qh6 g6 28. Rxg6+ fxg6 29. Qxg6+ Kf8 30. Qf6+ Ke8 31. Re1+ Kd7 32. Re7+ Kc8$27. Qh6 g6 28. Rxg6# fxg6 29. Qxg6+ Kf8 30. Qf6+ Ke8 31. Re1+ Kd7 32. Re7+ Kc8$
