Alexander, Chumachenko-Robert, Hovhannisyan Отличие:файл-прого$1. Nf3 {[%clk 1:30:57]} Nf6 {[%clk 1:30:58]} 2. d4 {[%clk 1:31:24]} d5$1. Nf3 Nf6 2. d4 d5 3. g3 g6 4. Bg2 Bg7 0-1$
Faizrakhmanov, Ildar-Fakhrutdinov, Timur Отличие:файл-прого$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nge2 d5 6. a3 Bd6 7. Ng3 c6 8. Be2$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Ne2 d5 6. a3 Bd6 7. Ng3 c6 8. Be2 a6$
Faizrakhmanov, Ildar-Fakhrutdinov, Timur Отличие:файл-прого$a6 9. O-O c5 10. dxc5 Bxc5 11. Qc2 Nc6 12. Rd1 Ba7 13. Bf3 Ne5 14. cxd5 Nxf3+$9. O-O c5 10. dxc5 Bxc5 11. Qc2 Nc6 12. Rd1 Ba7 13. Bf3 Ne5 14. cxd5 Nxf3+ 15.$
Faizrakhmanov, Ildar-Fakhrutdinov, Timur Отличие:файл-прого$15. gxf3 exd5 16. Qb3 h5 17. Nxd5 h4 18. Ne2 Be6 19. Nef4 Nxd5 20. Nxd5 Qg5+$gxf3 exd5 16. Qb3 h5 17. Nxd5 h4 18. Ne2 Be6 19. Nef4 Nxd5 20. Nxd5 Qg5+ 21.$
Faizrakhmanov, Ildar-Fakhrutdinov, Timur Отличие:файл-прого$21. Kf1 Rad8 22. e4 Qe5 23. Qc3 Qxh2 24. Be3 Bxd5 25. Bxa7 Bc6 26. Bd4 Rc8 27.$Kf1 Rad8 22. e4 Qe5 23. Qc3 Qxh2 24. Be3 Bxd5 25. Bxa7 Bc6 26. Bd4 Rc8 27. Ke1$
Faizrakhmanov, Ildar-Fakhrutdinov, Timur Отличие:файл-прого$Ke1 Bb5 28. Qb3 Rfd8 29. Bb6 Qg1# 0-1$Bb5 28. Qb3 Rfd8 29. Bb6 Qg1# 0-1$
Lintchevski, Daniil-Filipenko, Alexander V Отличие:файл-прого$Qb6 9. c5 Qa6 10. Re1 b6 11. cxb6 Qxb6 12. e4 Bh7 13. exd5 cxd5 14. Qa4 Ngf6$Qb6 9. c5 Qa6 10. Re1 b6 11. cxb6 Qxb6 12. e4 Bh7 13. exd5 cxd5 14. Qa4 Nf6 15.$
Lintchevski, Daniil-Filipenko, Alexander V Отличие:файл-прого$15. Ne5 Qb7 16. b3 Kf8 17. Ba3 Nb6 18. Bxe7+ Qxe7 19. Qa5 g5 20. Nb5 Kg7 21.$Ne5 Qb7 16. b3 Kf8 17. Ba3 Nb6 18. Bxe7+ Qxe7 19. Qa5 g5 20. Nb5 Kg7 21. Rec1$
Lintchevski, Daniil-Filipenko, Alexander V Отличие:файл-прого$Rec1 Rhc8 22. Rxc8 Nxc8 23. Nc7 Nb6 24. Nxa8 Nxa8 25. Rc1 Ne4 26. f3 Nd6 27.$Rhc8 22. Rxc8 Nxc8 23. Nc7 Nb6 24. Nxa8 Nxa8 25. Rc1 Ne4 26. f3 Nd6 27. Nc6 1-0$
Shimanov, Aleksandr-Shahinyan, David Отличие:файл-прого$Kc5 59. Qf6 {Kd5} 1-0$Kc5 59. Qf6 1-0$
Faizrakhmanov, Ildar-Baiburina, Kamilla Отличие:файл-прого$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Nge2 c5 6. a3 Bxc3+ 7. Nxc3 b6 8.$1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Ne2 c5 6. a3 Bxc3+ 7. Nxc3 b6 8. Bd3$
Faizrakhmanov, Ildar-Baiburina, Kamilla Отличие:файл-прого$Bd3 Bb7 9. O-O d6 10. b3 Nbd7 11. Bb2 Re8 12. Nb5 Qb8 13. dxc5 dxc5 14. Qc2 a6$Bb7 9. O-O d6 10. b3 Nbd7 11. Bb2 Re8 12. Nb5 Qb8 13. dxc5 dxc5 14. Qc2 a6 15.$
Faizrakhmanov, Ildar-Baiburina, Kamilla Отличие:файл-прого$15. Nc3 Ne5 16. Ne4 Nfd7 17. Ng3 Nxd3 18. Qxd3 Qc7 19. Qc3 f6 20. Rad1 Rad8 21.$Nc3 Ne5 16. Ne4 Nfd7 17. Ng3 Nxd3 18. Qxd3 Qc7 19. Qc3 f6 20. Rad1 Rad8 21. e4$
Faizrakhmanov, Ildar-Baiburina, Kamilla Отличие:файл-прого$e4 b5 22. f4 Nb6 23. cxb5 axb5 24. Nh5 Rxd1 25. Rxd1 e5 26. fxe5 fxe5 27. Qg3$b5 22. f4 Nb6 23. cxb5 axb5 24. Nh5 Rxd1 25. Rxd1 e5 26. fxe5 fxe5 27. Qg3 Qe7$
Faizrakhmanov, Ildar-Baiburina, Kamilla Отличие:файл-прого$Qe7 28. Rf1 Kh8 29. Bxe5 Rg8 30. Qf4 Nd7 31. Bxg7+ Rxg7 32. Nxg7 Qxg7 33. Rd1$28. Rf1 Kh8 29. Bxe5 Rg8 30. Qf4 Nd7 31. Bxg7+ Rxg7 32. Nxg7 Qxg7 33. Rd1 Bc6$
Faizrakhmanov, Ildar-Baiburina, Kamilla Отличие:файл-прого$Bc6 34. h3 Qe7 35. Qf5 c4 36. bxc4 bxc4 37. Qf3 Bxe4 38. Rxd7 Qc5+ 39. Qf2$34. h3 Qe7 35. Qf5 c4 36. bxc4 bxc4 37. Qf3 Bxe4 38. Rxd7 Qc5+ 39. Qf2 Qxf2+$
